,Palavra,Relevancia
0,llx,20.024135818708835
1,balreira,19.90320393844987
2,aenfer,19.767024752630512
3,roncaronca,19.340295256456585
4,ebx,19.283023723804714
5,eig,18.81625223948839
6,acciona,18.597568725194357
7,chouest,18.585514225356246
8,mineroduto,18.310280657754667
9,ucn,18.259879638151478
10,facínoras,17.99532920010364
11,ecbahia,17.833580239566906
12,erj,17.628768550657437
13,sjb,17.539376697665023
14,bière,17.538000839141134
15,esmaltespretagil,17.478683971579173
16,penduricários,17.37883936468798
17,technip,17.365972901127545
18,prevaricando”,17.314735958755207
19,jornalhorah,17.292832890629022
20,crápulas,17.199482856368018
21,brasileirao,17.08258029981693
22,pmsjb,17.076900604879835
23,bozonaro,17.075106369297025
24,neuwied,17.021142299496095
25,dataint,16.97294969715359
26,soffiati,16.95861541993507
27,goyta,16.949955883525103
28,telhaton,16.912983236797693
29,mmx,16.886407605725356
30,wied,16.848743796760683
31,carnificinas,16.831352906377354
32,essenzacosmeticos,16.75448332873963
33,fanipacheco,16.72705090404024
34,mortobandido,16.67859549947821
35,radioversatil,16.65894531511885
36,asprim,16.646530601193746
37,serafinna,16.610414385703148
38,rgdogol,16.51526948506945
39,atleticomg,16.494796984084754
40,descriçãorecurso,16.35612024112243
41,ternium,16.25442346653093
42,generalecos,16.244498909789968
43,umei,16.182835673475942
44,ogx,16.102572321639222
45,“importados”,16.090201733642232
46,ceniz,16.067170413258783
47,ecvitoria,16.030258634154457
48,salinização,16.025145399119797
49,bbb13,16.000034161559284
50,bolzonaro,15.969646215183097
51,turqueto,15.957183832680462
52,mpx,15.95633707922698
53,prostituída,15.857373841215665
54,universitária”,15.851677607601
55,photopills,15.826233168331648
56,pelinca,15.823818168046936
57,copa2018,15.819733171410572
58,armagedons,15.815675853842063
59,“pilantrão”,15.789750167949895
60,defensivismo,15.778557900770245
61,suêvo,15.774368768651483
62,coppe,15.770172666045585
63,petersom,15.755822938731429
64,zampirolli,15.746851093659307
65,gambés,15.741009680000909
66,paulistao,15.73900716506525
67,mutualismos,15.712458678526147
68,reinilton,15.711203229945662
69,aidéticas,15.68330797165312
70,baianao,15.668820657084861
71,dgst,15.668817565779825
72,fani,15.64997302404461
73,athleticopr,15.635753955536108
74,almy,15.609317811032684
75,açu,15.583167429697763
76,punisse,15.52460206512426
77,atleticopr,15.510200706596823
78,ichiro,15.510110367905938
79,“malandros”,15.501153450938675
80,montedônio,15.473658224328737
81,banjet,15.470679201314088
82,gambé,15.454538717215298
83,continuarao,15.453050690944682
84,disjb,15.450907694214864
85,aceleraai,15.450290605640872
86,nccp,15.424407196279677
87,guédon,15.41566806918862
88,oniscientes,15.39820618509995
89,prumo,15.394620253702335
90,tetag,15.394189599098102
91,engesique,15.38773423111735
92,ccpp,15.387453259505422
93,grussaí,15.380700227815812
94,iquipari,15.373716254393843
95,fopesq,15.370918799409116
96,relaee,15.37048795285705
97,pelag,15.363263246798516
98,putameda,15.343187853556937
99,gacliasso,15.340589782439054
