,Palavra,Relevancia
0,robaresi,20.66810089793474
1,symphysodon,19.790399531934405
2,oppnus,19.4618209484818
3,crenicichla,19.084096244534233
4,apistogramma,18.142554223934503
5,ecbahia,18.06379159139212
6,compararespiar,17.74372248905041
7,satanoperca,17.728598203262138
8,brasileirao,17.7107893657759
9,ciagym,17.42736328555853
10,pleco,17.31069359075154
11,carnegiella,17.185739950238986
12,oficiaiscamisas,17.00468111654763
13,emassar,16.92761490685218
14,hypancistrus,16.857077143277998
15,minguini,16.805492155646128
16,chalceus,16.79246291666246
17,hyphessobrycon,16.705321445528735
18,cincão,16.6947211139163
19,pseudacanthicus,16.661359298378517
20,atleticomg,16.659654779646278
21,geophagus,16.62192772918084
22,muzeez,16.532288714471637
23,ecvitoria,16.52231011536288
24,paulistao,16.47120490870805
25,justinópolis,16.3611420852775
26,baresi,16.228531990975448
27,distratos,16.19978812704173
28,athleticopr,16.19125992992201
29,pstc,16.097813769880673
30,paranambi,16.046373672954687
31,sitemodaeletrônicosmais,16.042197681028657
32,adidasmasculinofemininoinfantilacessóriosliquidaçãolinha,16.042197681028657
33,gessp,16.037843622286545
34,uriá,16.018135242158454
35,lempp,15.954635327805113
36,decamao,15.88217884450413
37,perlamar,15.879637717249047
38,vendidoslinha,15.838180972708752
39,cuipeua,15.828726258989828
40,chaperema,15.806105714511462
41,vetrinária,15.751019588441864
42,mureru,15.718064455120556
43,hemiancistrus,15.701167078475526
44,mairngá,15.673922438996135
45,oetterer,15.671996763916054
46,nannostomus,15.668605512623776
47,baianao,15.642546201900721
48,horle,15.632353733196451
49,atleticopr,15.612104518651266
50,buganville,15.584012646342169
51,eliminatorias,15.573053405066087
52,panaque,15.550970296600987
53,peckoltia,15.523677656353167
54,tintascoral,15.481364259319957
55,jeps,15.46134310429817
56,quebráveis,15.428244136209223
57,clóris,15.422187176822877
58,hemigrammus,15.413965109454729
59,keima,15.374093898538419
60,strigata,15.368790377908352
61,paracheirodon,15.31030301203636
62,scobinancistrus,15.289655727641355
63,liberatos,15.27035254996251
64,rasiko,15.258140947766888
65,discus,15.22566806280037
66,pinballs,15.217046927822562
67,baryancistrus,15.212839491373177
68,deghi,15.202263418036788
69,aryzão,15.174571158715922
70,olivieira,15.152175309963699
71,emella,15.147053516245395
72,frimisa,15.145279376642511
73,nordestao,15.138058671273445
74,atleticogo,15.123694966732197
75,americamg,15.055859597672955
76,pratópolis,15.054932296486852
77,macacus,15.046385304207805
78,macrorregional,15.017059460614949
79,bicbanco,14.987564342481841
80,candá,14.967632202821877
81,malucelli,14.928321923208845
82,maringaense,14.913511056250194
83,hipercampeonato,14.895652184091935
84,opppnus,14.895652184091935
85,célvia,14.890505021855738
86,donalisio,14.882805047552491
87,marigá,14.872421924810624
88,taxotene,14.856695154517434
89,campeoes,14.855319266898956
90,modamaringá,14.833976261603693
91,eartheater,14.822585810434214
92,saintgermain,14.808760392107674
93,asem,14.80751686732444
94,jups,14.777822489052147
95,pleomele,14.736990407490527
96,festakids,14.70453924099392
97,piemont,14.6944506963127
98,pathetico,14.675419150817453
99,shiller,14.669339401139654
