,Palavra,Relevancia
0,brasileirao,14.615981883151647
1,diadereis,12.919764399756003
2,ecbahia,12.15278232181496
3,athleticopr,11.085696719361954
4,rovílio,11.080782408031075
5,sulminasrio,11.01434539784388
6,gravediggers,10.925663533307254
7,suina,10.894419013337783
8,atleticopr,10.87894027837273
9,atleticomg,10.821806621073943
10,fenício,10.759786867239406
11,munch,10.608043468871479
12,flazoeiro,10.538217896988616
13,jogotreino,10.463201075674789
14,braziline,10.44663070229799
15,gremio,10.3364847212961
16,marcao,10.267983281944034
17,schuff,10.264996354428984
18,sulamericana,10.094060710578777
19,tragedia,10.080096422840068
20,tematica,9.89758363637744
21,gaélico,9.819337750000544
22,sitemodaeletrônicosmais,9.806941861737707
23,adidasmasculinofemininoinfantilacessóriosliquidaçãolinha,9.806941861737707
24,cuellar,9.749840350607123
25,friburguense,9.718454000693386
26,vendidoslinha,9.682222042352706
27,segundona,9.529167037332185
28,ecvitoria,9.52391840415278
29,imoveisdealtopadrao,9.4652999178342
30,edvard,9.457673507466883
31,arao,9.445159040413042
32,baianao,9.424761520201383
33,alhilal,9.401941760979678
34,panglossianamente,9.288573630992994
35,fajje,9.18564116828223
36,cappuccinos,9.181155553441126
37,bacchi,9.11809613120417
38,bartoli,9.086448390776502
39,reinier,9.08036826816462
40,seriea,9.043779703765393
41,penarol,9.028169201325362
42,galista,9.02507400856366
43,incendio,8.984093608024452
44,flamengojogo,8.943331848127569
45,fejama,8.9070025682054
46,fligh,8.903403364613578
47,gladiators,8.886269635764545
48,maracana,8.860586329925253
49,americamg,8.846557553781466
50,clezar,8.774089109930417
51,geuvanio,8.665211412659819
52,atleticogo,8.658751146964667
53,arrascaeta,8.589357772540092
54,atlheticopr,8.581181579496299
55,frenéticas,8.5624987798688
56,fink,8.505689758187582
57,caixetas,8.499472210433806
58,engenhao,8.497498729517963
59,flamengohorario,8.440555105319763
60,sandals,8.411784034652168
61,touchdown,8.405394021200873
62,yony,8.344048396205816
63,sportv,8.320758727978445
64,taca,8.314330016272333
65,varejao,8.287224133534595
66,urubu,8.211147666768964
67,guerrero,8.145357913523018
68,junino,8.13446541684701
69,jtavares,8.07429320058348
70,lancenet,8.071456462110064
71,nene,8.063392503648446
72,excursao,8.042081412444649
73,filadélfia,8.033643907089752
74,fatality,7.978409300535378
75,trindadego,7.902067155704684
76,shox,7.867705881321026
77,curintia,7.850670632528654
78,confusao,7.7958058198319025
79,pieter,7.783671129536854
80,levir,7.7501802771840245
81,barreiro,7.747288741327152
82,fofocalizando,7.7143429912722095
83,futebolao,7.702602004291683
84,riverpi,7.692534679289869
85,meiras,7.684541454650086
86,guarin,7.622918448208144
87,culpi,7.583973814181768
88,rhodolfo,7.582304039233857
89,boavista,7.57979894865984
90,flamengoresultado,7.570721219140845
91,riverhorario,7.570721219140845
92,ganso,7.550197560669845
93,vitinho,7.545093031707116
94,folgado,7.544689647086571
95,naútico,7.528814987052327
96,flamengo,7.485913168162084
97,resumi,7.484462711071764
98,cabofriense,7.477301054934291
99,orinho,7.466210593407907
