,Palavra,Relevancia
0,aenfer,19.455920010275637
1,balreira,19.137959034348967
2,acciona,18.739738718432193
3,chouest,18.61375311777475
4,mineroduto,18.231107718255757
5,ecbahia,18.209927436509545
6,brasileirao,17.647957751333234
7,bière,17.507246795133376
8,technip,17.435271822469183
9,facínoras,17.331313277662296
10,bozonaro,17.234954576719744
11,soffiati,16.98779068384295
12,mortobandido,16.67859549947821
13,pmsjb,16.67429200667701
14,carnificinas,16.66579421426303
15,radioversatil,16.65894531511885
16,serafinna,16.610414385703148
17,atleticomg,16.526029116466212
18,coppe,16.490915554284182
19,crápulas,16.482835428534507
20,ecvitoria,16.453600114391794
21,descriçãorecurso,16.35612024112243
22,ternium,16.3163922782716
23,litterario,16.306789166288294
24,umei,16.266407619458487
25,penduricários,16.262462690416466
26,paulistao,16.25792340910415
27,dgst,16.193403954146522
28,salinização,16.11391748269683
29,ceniz,16.083438959112158
30,goyta,16.082768780228232
31,athleticopr,16.07079204091047
32,turqueto,16.02065501050992
33,pelinca,15.95430352865715
34,ichiro,15.790239291974789
35,petersom,15.75955141201755
36,baianao,15.752406706527546
37,gambés,15.748396291351481
38,reinilton,15.739138677116488
39,aidéticas,15.711855110187065
40,aceleraai,15.666226521780676
41,fani,15.620358310261198
42,guédon,15.576162144718134
43,atleticopr,15.570271484593738
44,continuarao,15.555283472957964
45,prumo,15.459872256363754
46,nccp,15.402600976766017
47,grussaí,15.4024157079729
48,aryzão,15.399930571391492
49,montedônio,15.395456781227768
50,engesique,15.387336971628756
51,fopesq,15.383337490850177
52,asprim,15.375716406843331
53,iquipari,15.367945363652748
54,uenf,15.365592479628116
55,pelag,15.365570454260672
56,bolzonaro,15.340349459105745
57,clipa,15.326178418009595
58,baldicerotti,15.321681575963371
59,nordestao,15.317840333649267
60,mémórias,15.313456265422277
61,mocca,15.31241180209886
62,sindjustiça,15.292511168232258
63,montingelli,15.248797033177883
64,pjce,15.243909684495726
65,oniscientes,15.21874531879825
66,saliel,15.205668734455713
67,defensivismo,15.199312679239487
68,prostituída,15.176616756165043
69,cellynha,15.172337653275502
70,celomite,15.168656540737206
71,toscanini,15.137249079602139
72,orgam,15.131267221091768
73,atleticogo,15.126134314495856
74,mutualismos,15.110771939691984
75,zamluti,15.109622332952263
76,carcerario,15.065631606378624
77,mirena,15.049568745868985
78,eike,15.03920236440108
79,msac,15.03683186656448
80,infood,15.019578011553214
81,presidiario,15.017369513486338
82,inea,15.008404763885292
83,photopills,14.999473949124253
84,coghi,14.997403083471287
85,semanada,14.996244427630234
86,infoeconomico,14.974245189092946
87,dolabella,14.96309753475532
88,almy,14.916541289711654
89,icec,14.916063320577061
90,ronca,14.909535707268992
91,dangelo,14.889908688076709
92,imunda,14.86467709934691
93,photopiller,14.864452312578534
94,julgadoem,14.857829404503777
95,sinopec,14.845746708257819
96,píeres,14.838068469801472
97,americamg,14.837428290523635
98,desapropriados,14.813178581228577
99,gasolinadiesel,14.802303088969554
