,Palavra,Relevancia
0,soffiati,15.414211755906503
1,brasileirao,14.560269285653238
2,revisitando,13.155297523433054
3,ferrare,13.131062280406589
4,grosseria,12.567830226829567
5,ecbahia,12.220283510773198
6,sitemais,11.495846772892607
7,athleticopr,10.936335531141976
8,sulminasrio,10.898261992670106
9,atleticopr,10.861286159317228
10,atleticomg,10.66183318353632
11,jogotreino,10.475150127981937
12,marcao,10.302957288502336
13,sulamericana,10.09812966508714
14,itabapoana,10.081221048465794
15,descontrolar,10.05909209572201
16,zoëga,9.986034024675483
17,friburguense,9.73900815817644
18,tragedia,9.725147560747182
19,baianao,9.719015403747282
20,sarahyba,9.632156846725051
21,gremio,9.588095381660512
22,cuellar,9.55055506180708
23,ecvitoria,9.448866915450258
24,arao,9.346007219758135
25,desfilou,9.15070770857412
26,waldeck,9.149763589183497
27,fundiário,9.08486934913501
28,seriea,9.0643124850378
29,penarol,9.05523589848928
30,americamg,8.824287501664942
31,confidente,8.779792441506974
32,maracana,8.757809494134706
33,notadeesclarecimento,8.752107215861459
34,alhilal,8.64716129593353
35,incendio,8.611825223755263
36,reinier,8.602866777186156
37,atleticogo,8.599672378165604
38,hermes,8.524712773684145
39,cinquentenário,8.506959437319155
40,arrascaeta,8.434066571651133
41,yony,8.40652191033525
42,esporotricose,8.39257627607762
43,taca,8.289237316368329
44,intermunicipais,8.267571236614529
45,engenhao,8.265868133112875
46,eixo,8.162885813378885
47,fluminense,8.15434056695303
48,nene,8.097696431432883
49,noroeste,8.092424560190214
50,atlheticopr,8.088888349669515
51,riverpi,8.07554560847022
52,levir,8.001301285106614
53,serrana,7.901832460801576
54,culpi,7.817647739251
55,ganso,7.754273204117808
56,fani,7.746543776731451
57,urubu,7.743067296230083
58,fluminese,7.74210693134238
59,parnahybapi,7.686653119873947
60,confusao,7.643323820034789
61,orinho,7.607883697356003
62,unversidade,7.567504031781766
63,selinho,7.552202534944278
64,disputaram,7.530330764530954
65,geuvanio,7.497347775786539
66,lucao,7.49383342886249
67,cabofriense,7.492888809220784
68,freqüentes,7.477470755424759
69,guarin,7.456370402370364
70,negacionista,7.451860808559053
71,trindadego,7.440868169898566
72,boavista,7.439781600612837
73,ferj,7.433558774588843
74,avai,7.422390614684196
75,rhodolfo,7.339476504023479
76,agnews,7.265262100799815
77,orca,7.260845012795814
78,teresopolis,7.254668051621636
79,emedebista,7.242738906478658
80,ciclista,7.231649845393112
81,convoca,7.20683196208911
82,estadão,7.143622863318539
83,redentor,7.12465044771553
84,inovado,7.07845067378436
85,guerrero,7.040971963893168
86,maracanã,7.0359399959281195
87,juazeirense,7.0353975837577325
88,descriptionum,7.03445497251934
89,inundações,7.021119901100121
90,dórea,7.008570459435984
91,ecovias,7.003558109391383
92,sescrj,6.987602415478419
93,retração,6.983474889804867
94,sornoza,6.968446325025586
95,nasser,6.9659128305371
96,muriel,6.964285728590314
97,cavalieri,6.924755634363884
98,rueda,6.9014905455518925
99,abel,6.880245526964431
