,Palavra,Relevancia
0,scriptbanner,24.01133924889726
1,semtexto,23.75568765708265
2,treeapp,23.170265977689795
3,jtext,20.497690152972577
4,xedcias,20.33136998482356
5,galeriasdefotos,19.577053727184957
6,beneides,17.39876378279307
7,mollerke,16.072498211545504
8,fefumems,15.782672983872379
9,iscamp,15.680669154036453
10,ohya,15.448883397663925
11,campinternacionais,15.160893792945618
12,notcias,14.654507900010241
13,tragediaembrumadinho,14.635092259738377
14,noticiaseinformações,14.635092259738377
15,sobotoms,14.56250465391198
16,botonista,14.540007650166796
17,campregionais,14.111662561650274
18,node177,13.640431043331773
19,froener,13.41977453331311
20,coupete,13.337450653007213
21,brasileirãob,13.325147645304071
22,lincolntejota55555,13.310079746572288
23,ripavallone,13.287213241930656
24,habdo,13.216547097952116
25,rubensmarques90555,13.186110060917965
26,guanzu,13.184407653890057
27,carsonm,13.184407653890057
28,ewubank,13.184407653890057
29,possedeputadoestadual,13.184407653890057
30,rubensmarquesdeputadoestadual,13.184407653890057
31,érubens,13.184407653890057
32,rompimentodabarragem,13.183889049973002
33,heulercruvinel5550,13.180472703069302
34,matheusnojn,13.178962708836323
35,nethaniahu,13.17875773562717
36,pautadosaia,13.178248847804406
37,eulercruvinel5550,13.178248847804406
38,grenwod,13.178248847804406
39,dickeman,13.17774658975606
40,weittraub,13.177038212827119
41,fenômenno,13.177038212827119
42,gaidon,13.176029160967941
43,helau,13.175534532872161
44,mourãozinho,13.172088149647852
45,garcoa,13.172088149647852
46,anache,13.17139283021109
47,denardine,13.1681397234385
48,witizel,13.163715443470455
49,assembléialegislativa,13.162348243268768
50,goiâniao,13.16060676984715
51,hesbollah,13.156237013669104
52,mendetta,13.154058167460066
53,saiajustanognt,13.147545579566964
54,goiânio,13.147147497886783
55,antles,13.145382651877924
56,heulercruvinel,13.136770231512813
57,galiasso,13.123333078061833
58,defícit,13.113118411219938
59,hailê,13.102933570129956
60,citizem,13.092554865829364
61,suiss,13.075670817554274
62,mineiro2018,13.064312535235656
63,campnacionais,13.064312535235656
64,29132,13.004992671925658
65,28114,12.958092004480529
66,villis,12.935492682526354
67,23138,12.904157524086642
68,01114,12.888444684921563
69,21125,12.803139860463595
70,gedra,12.801959498327973
71,17168,12.788703655989412
72,botonismo,12.770971823043872
73,28105,12.769725047880678
74,22159,12.766591299711491
75,abusodepoder,12.745697173720215
76,isidória,12.723530270574946
77,17141,12.707084018681089
78,fprfm,12.696430064790055
79,21176,12.676238285168145
80,afumeca,12.676129340207233
81,lealdense,12.676126288572803
82,22120,12.675671509948844
83,vaitercopa,12.671896596310955
84,28159,12.663260668993402
85,afumetece,12.662399033020629
86,fefumemge,12.659057603020917
87,fpifm,12.65898495650332
88,ffumes,12.65898495650332
89,comerário,12.658575240477317
90,15143,12.654192208939842
91,sanmarco,12.646183742847697
92,14271,12.637724338623496
93,nion,12.627371665102798
94,fafm,12.615550696388462
95,nutico,12.615257429579588
96,27103,12.590941362017663
97,fcfm,12.580106944494522
98,01162,12.54837491175677
99,gardian,12.535846912196032
