,Palavra,Relevancia
0,beneides,17.3817712787934
1,mollerke,15.987581786138508
2,ohya,15.574530957761644
3,fefumems,15.103394672985111
4,botonista,15.084798051008688
5,sobotoms,14.274707119545967
6,froener,13.440168454333259
7,anache,13.391012593315029
8,bugnews,13.37052431551745
9,coupete,13.337450653007213
10,habdo,13.238437585914454
11,carsonm,13.184407653890057
12,ewubank,13.184407653890057
13,guanzu,13.184407653890057
14,dickeman,13.182183134706554
15,helau,13.182183134706554
16,nethaniahu,13.17875773562717
17,grenwod,13.178248847804406
18,gaidon,13.178248847804406
19,delaçã,13.178248847804406
20,denardine,13.177038212827119
21,fenômenno,13.177038212827119
22,weittraub,13.177038212827119
23,mourãozinho,13.174307172565708
24,garcoa,13.174307172565708
25,shington,13.172580604871204
26,mendetta,13.171602230277687
27,hesbollah,13.167191787263201
28,witizel,13.165925516032729
29,antles,13.16279770956654
30,goiâniao,13.16060676984715
31,galiasso,13.15755665536165
32,goiânio,13.147147497886783
33,suiss,13.14530862202019
34,citizem,13.130351773628945
35,defícit,13.119424847324547
36,hailê,13.107110655873761
37,sanmarco,13.078535273543984
38,villis,12.964989374755932
39,gedra,12.870389797745254
40,isidória,12.836514857703046
41,botonismo,12.719572104100003
42,comerário,12.692802104289326
43,fprfm,12.672731059863784
44,lealdense,12.669273385232572
45,nion,12.662882677255292
46,afumeca,12.662452216732492
47,afumetece,12.658926061621475
48,fpifm,12.658926061621475
49,fefumemge,12.655581565688985
50,fgfm,12.655503097249852
51,ffumes,12.655503097249852
52,fafm,12.635188668600811
53,anfm,12.61854530673985
54,fcfm,12.60868027419687
55,gardian,12.575356086545424
56,fbfm,12.470538122991146
57,vassil,12.327368366769095
58,leita,12.276906167848763
59,hoffoman,12.275353630367801
60,ingeninum,12.275353630367801
61,teimamentos,12.275353630367801
62,embrigaguez,12.270868443654816
63,nucitelli,12.25752946757092
64,fastão,12.235676538822542
65,sertoledo,12.21005361603521
66,cornehl,12.16468001375811
67,bolsonato,12.075841523429526
68,cambijú,12.014798334319599
69,assofepar,11.989611145840081
70,fozdesenvolve,11.692633981155877
71,destravafoz,11.681478465959675
72,hmab,11.681478465959675
73,nariño,11.613291379030988
74,steff,11.596485622789265
75,cruijff,11.40422890997903
76,constatino,11.354408183182501
77,anschau,11.243516172942902
78,sifódi,11.231447215272839
79,funesp,11.152966771040402
80,prosopopeias,11.108204544440936
81,arubenho,11.032222598049795
82,liechtensteinense,10.987347500414744
83,faroês,10.978647745093346
84,lovat,10.67186512252548
85,bromazepam,10.621414226331414
86,kamei,10.591424685604952
87,confusao,10.364887542341474
88,garantioeste,10.306416009557324
89,mace,10.121197403302238
90,porozo,10.098883348816688
91,theron,10.069180144219782
92,kaskus,9.892089252887791
93,cracks,9.863170062985233
94,acusacao,9.835935659865049
95,tencati,9.648568348543677
96,pimpao,9.189213339975721
97,maisperto,9.175292870486057
98,snelis,9.110773970440162
99,pivatto,8.980878488723462
