,Palavra,Relevancia
0,fpifm,12.658926061621475
1,fgfm,12.655503097249852
2,ffumes,12.655503097249852
3,fprfm,12.645298418616022
4,fpfm,12.532826917871885
5,portuguesarj,9.91081667817144
6,fundesporte,9.731033854038973
7,fittipaldi,8.90579889719544
8,fuleco,8.209473455211214
9,digao,7.87352784677143
10,liverpooluru,7.603568037775702
11,tragegia,7.591309399256406
12,tjdrj,7.414603825077352
13,firmes,7.0101784838970795
14,sociotorcedores,6.8312428601981265
15,douradosms,6.830429027942314
16,financial,6.437363455218436
17,angioni,6.416963640815317
18,nino,6.375466169057993
19,maracanãleave,6.305183367867941
20,sociotorcedor,6.082597242976734
21,lesao,5.859235542903167
22,réver,5.655869223193499
23,siemsen,5.571716705927041
24,leomir,5.47424761483404
25,flagrante,5.3220330737502115
26,prisoes,5.32025562612457
27,campeopnato,5.22499030499695
28,pichacoes,5.22127549016872
29,barcelonaequ,5.152833603717565
30,agape,5.066437923955231
31,cuenca,5.026427010535721
32,frazan,4.9045801037257055
33,vásquez,4.822665636191568
34,olivera,4.771926025586659
35,hojeflamengo,4.756496569939131
36,calazans,4.714598959217286
37,nacionaluru,4.6985072054342325
38,ibanez,4.688919639715621
39,marè,4.671565664583555
40,porciuncula,4.565592273988922
41,donatti,4.557229888690019
42,funcinario,4.516268187072062
43,marrony,4.502698854475998
44,eurocopa,4.488408031448213
45,futbol,4.462783483453059
46,lafe,4.357830843099023
47,recuperacao,4.350177515481773
48,rene,4.325850560706249
49,concessao,4.325469760909279
50,minimiza,4.324002452314181
51,ewandro,4.299049659355338
52,inconclusivo,4.201402469891341
53,desfalcado,4.150692400522278
54,confiancase,4.115270224102355
55,martinuccio,4.114768014730848
56,caldense,4.105575817777058
57,fbzl,4.08291031810711
58,cuesta,4.070924326576364
59,kannemann,4.054432823552263
60,brocador,4.040488910297658
61,luccas,4.030330860071543
62,levior,3.976892816207116
63,reencontro,3.9759367721806744
64,jateada,3.9698969375777526
65,brasilrs,3.957289921920325
66,demissao,3.9205495698047965
67,cabezas,3.9101816969960086
68,jadson,3.9074333923417695
69,valentim,3.904219663089261
70,riascos,3.8900453661654915
71,larghi,3.8810335469037556
72,hernanes,3.8618829260713623
73,matheus,3.850085478419966
74,allan,3.8428419172776627
75,natanael,3.8412075901136133
76,americarn,3.838416590361524
77,goianiense,3.8336655904286543
78,falados,3.8027883528812763
79,allione,3.764818886954448
80,oncins,3.753894697182552
81,carli,3.7437871255624136
82,scaloni,3.684501065201179
83,artilheiros,3.6765493946485144
84,pluri,3.663219263209867
85,richard,3.635630279178483
86,eindhoven,3.6320402335584046
87,vestiario,3.6155538621126295
88,neem,3.61308162561225
89,ludogorets,3.5899465884748807
90,adson,3.5847465033983266
91,gepe,3.5823258337048114
92,featured,3.581488630052064
93,ingressos,3.5549022173033187
94,éverton,3.5184293387126795
95,samudio,3.516111825671589
96,roger,3.433758736142196
97,proximos,3.4315250663757846
98,gavea,3.428594860167514
99,balancos,3.4024136115602186
