,Palavra,Relevancia
0,tíbia,6.909889914158246
1,betim,6.463982056743625
2,fratura,6.384402328220476
3,headermobile,6.266591462893696
4,tibia,6.266437749070109
5,component,6.112554005352269
6,votorantim,5.890646310735607
7,vespasiano,5.807760459336713
8,itapetininga,5.730128252527427
9,insulfilm,5.610427933539314
10,ariel,5.553502333390144
11,boituva,5.5347157169177805
12,empreiteira,5.50769175154574
13,contagem,5.499351601135182
14,cerquilho,5.47723228031411
15,bounds,5.469906201705163
16,taquaril,5.455339053321711
17,desentupidora,5.309652761804389
18,osso,5.243440700565292
19,floramar,5.2297022838891545
20,pampulha,5.225826476644445
21,cabreuva,5.179192437277464
22,parnamirim,5.1516741444261145
23,quebrei,5.0017050442650195
24,pisar,4.98351265556563
25,iperó,4.942869529066852
26,gesso,4.942066048940297
27,calo,4.937379018382209
28,font,4.9342909573723235
29,igfooter,4.933135471021729
30,ósseo,4.9018792572006715
31,peróxido,4.814450407139551
32,rufos,4.802072348495935
33,edema,4.751008750940067
34,luzia,4.740202379297324
35,calhas,4.738575712877485
36,corrimão,4.707116679081328
37,óssea,4.703298135209745
38,caçambas,4.700380079719847
39,angatuba,4.700380079719847
40,massacra,4.667615991478778
41,sion,4.635359703495099
42,riacho,4.612273998005758
43,vianópolis,4.599634374148468
44,grafiatos,4.599634374148468
45,bicas,4.557973750519448
46,itapoã,4.5491487073319306
47,beraldo,4.524597843085544
48,perna,4.511417275784049
49,drywall,4.494074853529893
50,sofri,4.48450535980375
51,comerciários,4.472206024162451
52,carretos,4.4714980850963
53,tornozelo,4.438261500189473
54,gameleira,4.425838012903131
55,calafate,4.417440118877553
56,barreiro,4.406192086115358
57,alambari,4.382136886486048
58,araçoiaba,4.355438158834296
59,ortopedista,4.352310971801071
60,submenu,4.345848453206525
61,ibirité,4.332715354947249
62,hassubitems,4.315286010235311
63,noticiasfloat,4.315286010235311
64,lafaiete,4.315258394777552
65,parnaíba,4.2957511609153265
66,caiçaras,4.278284776820967
67,envidraçamento,4.278284776820967
68,dedetizadora,4.27396930768031
69,pirapora,4.2725096455922085
70,túmulos,4.251571469916075
71,savassi,4.243450802405176
72,persianas,4.242051581024875
73,caiçara,4.239178329398066
74,bernado,4.230760736152437
75,belvedere,4.225646822220021
76,sorocaba,4.197462193667721
77,haste,4.197449956756183
78,footer,4.194035468519471
79,betânia,4.189314936302482
80,fabricadas,4.180526925917297
81,fraturas,4.163233691969083
82,vilarinho,4.161147865308501
83,estofados,4.157160710743879
84,telhados,4.138211370871005
85,paquetá,4.137329323376058
86,braúnas,4.126659952586971
87,muletas,4.110061066881528
88,horizonte,4.109587818166388
89,lagoinha,4.104642643430556
90,películas,4.097875217553038
91,indianápolis,4.0942635383350225
92,joinville,4.091124076745398
93,horto,4.08012668136466
94,camargos,4.075779278609375
95,forros,4.072965438685457
96,demorada,4.072108324327295
97,align,4.063875475577438
98,mantiqueira,4.056578328976632
99,margin,4.047321936109917
