,Palavra,Relevancia
0,barrocas,7.694575742303779
1,itaperuna,6.926341803847589
2,porciúncula,6.5904427985857525
3,itabapoana,6.434178785756977
4,italva,5.881328299472448
5,furnas,5.717226397498192
6,varre,5.5002133879300645
7,eletrobrás,5.259409911169823
8,trilhão,5.234362346147091
9,garrido,5.0779469151773755
10,ronca,5.057910537443251
11,violencia,5.022349375409805
12,natividade,4.88155026972335
13,operacao,4.829761716729505
14,miracema,4.826271410143613
15,maré,4.819150035883351
16,toni,4.701282772760904
17,lattes,4.690030024874999
18,cpdoc,4.68738191643511
19,perillo,4.6253720357653325
20,muriaé,4.624315451456051
21,goytacazes,4.6006243317164515
22,marielle,4.589836946531151
23,cubanos,4.505723254612739
24,estadão,4.503611363549164
25,dumbo,4.433527453415224
26,alerj,4.400108791039354
27,bacharel,4.32284723312537
28,desfralde,4.306749487091074
29,pádua,4.202776306868679
30,graduanda,4.177105950760149
31,periodico,4.176862898593196
32,detido,4.175573105578917
33,povoado,4.163533840456119
34,cocaína,4.144433085404459
35,fluminenses,4.108187640340858
36,displasia,4.108187640340858
37,rosana,4.103924393299197
38,apreende,4.102254287805392
39,mare,4.045841771409813
40,jungmann,4.034827097454988
41,itaocara,4.0214019967669135
42,jansen,4.01344417238639
43,noroeste,3.9963433755066644
44,gebbeg,3.987061700791293
45,viomundo,3.983022107741412
46,constança,3.9687754452304724
47,lealdade,3.9612421626208176
48,fluminense,3.9449245982108367
49,contágios,3.944356092324634
50,catadores,3.9387537534794554
51,missed,3.884196057795619
52,obstétrica,3.8383087526966797
53,tráfico,3.7680429610483097
54,promise,3.7495499545905724
55,aéreo,3.7449236877516188
56,maconha,3.7444685736721723
57,repórter,3.7324798107403288
58,munições,3.7036664725139734
59,graduando,3.7021786149494105
60,fluorescentes,3.7021786149494105
61,reggae,3.693789013492812
62,objetiva,3.6922624215454998
63,roberta,3.686796796160342
64,didática,3.678527347584864
65,doutoranda,3.675882144994076
66,usina,3.6642755662404407
67,aérea,3.6376239579645673
68,bacelar,3.634197409778292
69,esquadrão,3.6301939941244874
70,socioambiental,3.604770630082692
71,mprj,3.6043694910489927
72,geradoras,3.5909271406394225
73,zanardi,3.586515448409639
74,firjan,3.586083513337313
75,bruxismo,3.5860143138248586
76,montessori,3.581864063421857
77,aeronáutica,3.5450094552074103
78,habilitado,3.53721800731045
79,pezão,3.5309715003342297
80,cemig,3.5275229727705315
81,apreendido,3.5244834764085318
82,medicos,3.520020905125698
83,mortes,3.516730705580576
84,macaé,3.503181782851621
85,tiroteio,3.5016878200586947
86,armadas,3.49899422081667
87,reinaldo,3.489578815507365
88,nursing,3.4827887348918813
89,afrouxamento,3.4787227750099414
90,botânico,3.4744472533025914
91,detidas,3.4700871593980827
92,filó,3.4482183565233067
93,hebe,3.4477537642185303
94,sustentáveis,3.4277719306490577
95,entitlements,3.4276607512934762
96,witzel,3.4237825042548997
97,figurinhas,3.4203437983739966
98,reject,3.4203437983739966
99,ordenamento,3.4165553916309648
