,Palavra,Relevancia
0,pituaçu,5.435292942683553
1,ceni,2.7199097209541168
2,ronaldinho,2.696222002127065
3,misael,2.5798764581631954
4,tigrão,2.4072252035697757
5,cueva,2.4072252035697757
6,rosário,2.3653210769444395
7,joesley,2.3637856809200617
8,falou,2.3541813059129644
9,sanchez,2.3384802426839686
10,sposito,2.292027783359066
11,interiores,2.2544853492964654
12,sampaoli,2.1743181379195895
13,loures,2.153374743545537
14,vanderlan,2.1434211037558506
15,cpmf,2.098029427652297
16,araci,2.0737317580895667
17,urubu,2.05855065403731
18,neymar,2.054551210305853
19,wilder,2.0170919463501886
20,vino,2.004441831975513
21,suzano,1.9785289773717445
22,ignorou,1.9608335474847276
23,silva,1.9450450050490053
24,décimo,1.9432041119805454
25,iris,1.9280423458947218
26,renuncia,1.9233725691146168
27,prejudicar,1.8640509189571377
28,rosinha,1.855635376902172
29,delação,1.855635376902172
30,selecao,1.8462424469348857
31,direita,1.8089411598014047
32,orientado,1.797144345647008
33,collor,1.794030894600988
34,jacaré,1.7899233071157636
35,serginho,1.7668382016915223
36,sánchez,1.7606856511908573
37,sãopaulo,1.7546745512384125
38,navios,1.7325528687964875
39,desfalques,1.7319235705970444
40,dudu,1.730033694040679
41,welle,1.7160719699781923
42,magé,1.7153424974030471
43,maduro,1.6990557432255486
44,preferidos,1.6990557432255486
45,politizado,1.67780230082021
46,mbappé,1.67780230082021
47,bertolucci,1.67780230082021
48,chivas,1.67780230082021
49,pasadena,1.67780230082021
50,streep,1.67780230082021
51,aparecidense,1.67780230082021
52,xiita,1.67780230082021
53,leco,1.67780230082021
54,esquerdopatas,1.67780230082021
55,dentistas,1.677207552903248
56,embutidos,1.6730204683694418
57,huck,1.6650043303559725
58,belezas,1.662798667064173
59,kashima,1.6597725752346093
60,ferri,1.6597725752346093
61,adib,1.6597725752346093
62,krebs,1.6597725752346093
63,nicodemos,1.6597725752346093
64,cardiff,1.6597725752346093
65,dunga,1.6567029559181248
66,fortaleza,1.6531323109285274
67,ricardo,1.6521473340212411
68,apoiar,1.651963547593391
69,charlie,1.6490428397598134
70,amma,1.6431868354795158
71,avai,1.6431868354795158
72,dinamite,1.6431868354795158
73,karlos,1.6431868354795158
74,provisório,1.6370341877688999
75,eleitos,1.634049233437977
76,negrão,1.6295630700159789
77,friboi,1.6278308389665979
78,neilton,1.6278308389665979
79,natali,1.6278308389665979
80,albernaz,1.6278308389665979
81,terrivelmente,1.6278308389665979
82,rooney,1.6278308389665979
83,detecção,1.625040892398648
84,marighella,1.6135347482333067
85,kajuru,1.6135347482333067
86,decapitado,1.6135347482333067
87,deutsche,1.611769040333516
88,prata,1.6007379378322977
89,rizek,1.6001616484609678
90,youssef,1.6001616484609678
91,assedio,1.6001616484609678
92,reforços,1.5887315157379815
93,premiada,1.5883021911743815
94,ênio,1.5875995521823234
95,indigenas,1.5875995521823234
96,calcio,1.5875995521823234
97,reapresentação,1.5875995521823234
98,jihad,1.5875995521823234
99,theron,1.5875995521823234
